name,email,class,school,total-score,address,phone
"Mrs. Sonya Goodwin",justyn.torp@yahoo.com,5,"Soluta ducimus asperiores eligendi aut.",2,"16544 Hodkiewicz Station
East Jarredborough, NC 92154-9294","+1 (463) 679-4092"
"Cleve Rau",schoen.johnny@yahoo.com,5,"Enim dolor labore accusamus enim sed.",3,"534 Emily Lane
Lake Maia, UT 77469","+1 (386) 420-4925"
"Katelin Goldner",gstark@hotmail.com,8,"Officiis eius nulla temporibus.",9,"545 Matilda Club Apt. 265
West Katelinmouth, HI 74138-1712",1-239-794-6871
"Clifford Bosco",xkilback@monahan.org,9,"Distinctio quod animi voluptatem placeat.",5,"347 O'Kon Ways Suite 789
North Lolitaborough, AL 30965","(704) 890-5414"
"Saul Metz",camilla.rutherford@cartwright.org,4,"Ad quisquam omnis inventore assumenda aliquam.",3,"87792 Heaney Junctions
Juniorside, ND 42956-2894",1-540-857-5073
"Neil O'Hara",hsporer@carroll.com,9,"Nostrum aut quia voluptatum.",1,"4293 Bosco Land
Angieton, OK 10441-0367",+1.701.954.4369
"Miss Chloe Gutkowski Jr.",eichmann.dee@mueller.biz,5,"Unde aut earum ratione non corporis expedita.",9,"9255 Borer Canyon Apt. 820
South Tillmanmouth, ND 43174-4458",+1-972-857-2416
"Mason Gutmann",ora.balistreri@pouros.com,4,"Id illum consequatur aut nobis.",6,"53282 Tillman Corners
Candelariotown, NJ 56582",614-767-8069
"Chet Tillman",crolfson@brakus.org,2,"Nemo quia saepe dolor magni id.",5,"13321 Sofia Locks
Eastonfort, PA 50998","(409) 790-6450"
"Adolphus Robel",kameron.wolf@schuppe.com,1,"Sint quam et itaque eum quam temporibus.",1,"9611 Rau Ridge Apt. 784
Sunnyshire, CO 81113-7361",+1.352.880.3168
