name,email,class,school,total-score,address,phone
"Brad Hoppe",wunsch.claude@abbott.com,0,"Laborum et sit sunt autem aliquam culpa.",9,"88113 Enrico Stravenue
Gaylordberg, SC 55626-5899",+18629752345
"Prof. Lew Nienow",mosciski.moses@hotmail.com,2,"Voluptas labore qui harum saepe ipsam.",1,"982 Gina Radial Suite 092
South Kyleefurt, WA 25355",+1-785-464-3156
"Mittie Balistreri",dexter.runte@gmail.com,7,"Dolorem placeat sequi est eos sit.",0,"668 Alberto Trace
Bernitaport, VA 79524",313.885.9934
"Rudy Hegmann",heidenreich.twila@hotmail.com,2,"Et vero modi cupiditate et sequi debitis velit.",1,"2243 Hauck Courts
McCulloughland, NJ 61147","+1 (972) 414-5260"
"Miss Haylee Bergstrom III",pearline.kilback@beier.com,2,"Non voluptates id eos aut nihil omnis.",6,"2965 Nicolas Ways Suite 485
New Roberta, HI 61186-6184",+17258089907
"Charlene Dicki",fisher.jessika@fay.biz,6,"Qui assumenda earum asperiores rerum eius sed.",0,"92157 Ezekiel Road Suite 639
Boyleberg, UT 37371-9595","(801) 231-7207"
"Izabella Trantow",macejkovic.carmine@yahoo.com,6,"Ut dolorem incidunt occaecati asperiores vero.",6,"8163 Howell Junction Suite 427
Leschmouth, CO 72092-9154",+18047528544
"Prof. Aletha Anderson",stokes.cleo@yahoo.com,0,"Aut quis ipsa possimus.",3,"706 Corrine Ramp
Ashleighbury, OR 17104-2763",+1-323-317-8320
"Courtney Little",cdeckow@hotmail.com,8,"Aliquid non et reiciendis mollitia dolor.",3,"49126 Jennifer Parkway
Port Evangeline, MN 89120","+1 (534) 721-1997"
"Dr. Orrin Brown II",xstoltenberg@koch.biz,3,"Reprehenderit et quod consectetur cum rerum.",9,"9377 Anderson Glens Suite 052
New Myrtice, AZ 82799-7003",484.895.9319
