name,email,class,school,total-score,address,phone
"Lazaro Legros",marshall51@cronin.info,0,"Nesciunt suscipit sit est aperiam veniam a.",7,"60922 King Viaduct
Derrickburgh, WA 97886-3186",330-569-8557
"Dariana O'Conner III",williamson.kay@ratke.org,8,"Nemo dolorum dolorem illum.",0,"539 Lockman Radial
Beierland, TX 44842",986.392.5207
"Prof. Clint Corwin Sr.",joanne.kuvalis@fisher.com,2,"Earum voluptatem qui quasi ea.",1,"763 Veum Gardens
Lake Johnpaulhaven, NE 73101",689.897.4426
"Baby Walsh",reichert.dolly@yahoo.com,7,"Dolore iste sunt qui natus ut quasi.",3,"8223 Bernhard Meadow
New Reinhold, RI 54222-6706",629.877.7701
"Crawford Huels PhD",vlueilwitz@okeefe.com,6,"Libero ea voluptatem quo accusantium itaque sed.",9,"866 Brandt Well Suite 512
Emilyside, SC 18769","(726) 471-2679"
"Mrs. Theresa Conroy PhD",alta57@beatty.info,2,"Saepe expedita sunt voluptas facere illo harum.",5,"43923 Kessler Cove
Port Aurorefort, OH 58838",469-327-6828
"Broderick Hammes",rippin.alyson@batz.com,4,"Enim et asperiores ipsam.",5,"427 Dillon Lodge Apt. 097
Cecileview, DE 42249-9224",440-908-7406
"Dejuan Baumbach",hector.damore@bode.com,7,"Vel iusto quod quas illo eaque omnis.",4,"30442 Dillan View
Giovannyland, RI 51430-9641",218.914.6076
"Dorian Balistreri II",alessandra.robel@hotmail.com,9,"Et natus nobis et quas et.",5,"802 Mills Ports
North Stella, TX 17835",936.938.2306
"Kali Waters V",feest.misael@hotmail.com,3,"Iusto minima tempora voluptas.",2,"358 Keebler Locks Suite 208
Port Nat, LA 88583-4129",+16184914052
